BASIN,y1,y2,ychange,axis,lsr_ax,dist_cent_ax,sorensen_ax
JON,2007,2009,2,HW,-0.6005937164083937,0.671450614002281,0.4830138637268247
JON,2007,2009,2,SF,-0.7751199866977887,0.4948675302369366,0.4464884835643865
JON,2007,2009,2,TMA,-0.8703743195903786,0.5985619537979426,0.3823744756172857
JON,2007,2009,2,TDR,0.03966290879285908,0.685523996513866,0.6371688513672857
JON,2007,2009,2,sg_rich,-0.7686209676773295,0.623511993749582,0.42697251512203765
JON,2007,2010,3,TT,-0.9697879192250456,0.7603706852330872,0.45824530244242806
JON,2007,2010,3,HW,-0.9736406537110819,0.6852120862873331,0.4629080529082007
JON,2007,2010,3,SF,-1.5239871929946747,0.3949143921812744,0.3154649308844773
JON,2007,2010,3,TMA,-1.1369654311817399,0.7226431980922344,0.42405154287524144
JON,2007,2010,3,TDR,-1.3355956597568601,0.6518233152458597,0.3814028774330449
JON,2007,2010,3,sg_rich,-1.135641517890596,0.6631897431971465,0.4090828878139032
JON,2007,2011,4,TT,1.7870908443162954,0.5143234660632714,0.22426259009314478
JON,2007,2011,4,HW,1.4376182611377761,0.5465345112143312,0.232822415322884
JON,2007,2011,4,SF,1.158970246480405,0.5011183447524028,0.2686623554877296
JON,2007,2011,4,TMA,0.5018867309222754,0.5062809381485393,0.3595430701724417
JON,2007,2011,4,TDR,-0.058869604568985705,0.3372219555953953,0.5388899363453653
JON,2007,2011,4,sg_rich,1.2290897053806287,0.49546916341852226,0.27074562950348147
JON,2007,2012,5,TT,2.857794905321633,0.9979192935529185,0.08485923755414235
JON,2007,2012,5,HW,2.895069879203276,1.2207304998677895,0.06251497277302663
JON,2007,2012,5,SF,2.7184378529736195,1.1246882642722111,0.0687489924957585
JON,2007,2012,5,TMA,1.395282497602962,1.169410359723735,0.16194281302183702
JON,2007,2012,5,TDR,0.263493527772537,0.7959335916642499,0.45890698916261125
JON,2007,2012,5,sg_rich,2.384074137382214,1.1795516471464682,0.08077620707221918
JON,2007,2013,6,TT,2.7300588235787364,1.099486627572076,0.07974757982930758
JON,2007,2013,6,HW,2.3330780601477716,1.3475773062074257,0.06684959606010175
JON,2007,2013,6,SF,2.7102875714460817,1.259941524034249,0.06330580040826232
JON,2007,2013,6,TMA,0.5690682337234735,1.1989826542520132,0.19634677066298503
JON,2007,2013,6,TDR,-0.1852430398034407,0.9002273828389086,0.3196048550626674
JON,2007,2013,6,sg_rich,2.1647295775475714,1.2911182917140624,0.07710667066373841
JON,2007,2014,7,TT,-0.8689780185961838,0.9713915497218923,0.42786593596230177
JON,2007,2014,7,HW,-0.627548006682213,0.9848158221637661,0.48935701407207416
JON,2007,2014,7,SF,-0.6370651921283245,0.24297764565599578,0.5071283085726371
JON,2007,2014,7,TMA,-1.6420589726275365,0.960683730310453,0.29802772799232485
JON,2007,2014,7,TDR,-0.7897984911328804,1.0005783735318758,0.4625523220456297
JON,2007,2014,7,sg_rich,-1.1823417656214628,0.9745402211961507,0.36344280897401904
JON,2007,2015,8,TT,-1.2462297886829554,1.2974753540634596,0.24020804389670355
JON,2007,2015,8,HW,-0.8427975182300912,1.4853692788397819,0.19406787170031023
JON,2007,2015,8,SF,-0.4816943040530039,0.8376238406379409,0.328565703414668
