BASIN,y1,y2,ychange,lsr,dist_cent,jaccard,sorensen,uniq_y1,uniq_y2
JON,2009,2021,12,5.7221269541702915,3.750625672255082,2.5099118205668e-4,5.018564025816533e-4,0.923076923076923,0.9997482505753151
JON,2009,2022,13,6.117151639696264,3.5607183345759434,8.31755795398918e-4,0.0016621291052818165,0.6222222222222222,0.9991671031769972
JON,2009,2023,14,3.80928638051153,3.8474789402778655,0.007264982647291203,0.01442516670875899,0.6673684210526315,0.9926275570204961
JON,2010,2011,1,2.596936773109638,0.9294272051210783,0.062488730504972306,0.1176270932780117,0.15175817396668717,0.9368047592178448
JON,2010,2012,2,3.9112444361318337,1.496733080069003,0.014574389091693618,0.02873005518055993,0.2679425837320574,0.9853474480874269
JON,2010,2013,3,3.4602420174565918,1.5031274640798022,0.014820993620114215,0.02920907965698288,0.5206106870229007,0.9849365540370475
JON,2010,2014,4,0.24946963007306494,1.6134614640066862,0.24724111145902472,0.3964608112858013,0.5473716759431045,0.6473056979292926
JON,2010,2015,5,-0.23221292570555313,2.0446236244500624,0.0884638975814672,0.162548152084844,0.8542936811758589,0.8162077567888957
JON,2010,2016,6,5.332935823584447,3.634312851808046,0.0015385105398547832,0.0030722943225128443,0.6804123711340206,0.9984564334483721
JON,2010,2017,7,6.034143336286452,3.5165601967826796,0.001367480530699236,0.002731226162795912,0.42857142857142866,0.9986311155271517
JON,2010,2018,8,4.626168506756723,3.735878571491197,0.001456706201126319,0.0029091745895878265,0.8500000000000001,0.998531169086641
JON,2010,2019,9,3.8915359416673327,3.7092655824837317,6.506041703538922e-4,0.0013003623195597077,0.9675,0.9993365460632962
JON,2010,2021,11,6.413568140851378,4.35792210483037,0,0,1,1
JON,2010,2022,12,6.8085928263773505,4.065112998200855,1.0028529786478311e-4,2.0055048346459504e-4,0.9090909090909091,0.9998996140297659
JON,2010,2023,13,4.500727567192617,3.6547664340193045,0.002358199348800574,0.004705302655941996,0.7857142857142857,0.9976212320850568
JON,2011,2012,1,1.3143076630221957,0.7582500654134571,0.1709111996040337,0.29192854191134326,0.3107314468766684,0.8148209297230045
JON,2011,2013,2,0.8633052443469537,0.7837603294953641,0.18863152745550532,0.31739277160064466,0.4650369528140989,0.7743709160612239
JON,2011,2014,3,-2.3474671430365732,0.9026208685822749,0.06606191654424562,0.12393635964108433,0.932106978999683,0.2899038461538462
JON,2011,2015,4,-2.829149698815191,1.3605583563244408,0.02939677225846198,0.057114560781002736,0.9697560394240288,0.4879377431906616
JON,2011,2016,5,2.7359990504748084,2.9054320645462024,0.02922944329001116,0.05679869242095718,0.5335365853658536,0.9697595466928248
JON,2011,2017,6,3.4372065631768147,2.893865721650629,0.016213791652458936,0.03191019800290998,0.48784194528875374,0.983531874662815
JON,2011,2018,7,2.029231733647084,3.1445598052004295,0.02764477637394844,0.05380220288083052,0.7684288905435592,0.969563113000565
JON,2011,2019,8,1.2945991685576947,3.1712531149266106,0.003210802615369666,0.00640105271394428,0.9851190476190476,0.9959225048628957
JON,2011,2021,10,3.8166313677417403,3.858547023653076,0,0,1,1
JON,2011,2022,11,4.2116560532677125,3.646183667252841,9.618008211232911e-4,0.0019217532983462362,0.9342105263157895,0.9990248814270902
JON,2011,2023,12,1.9037907940829786,3.973667589643672,0.01069347454348756,0.021160668022156992,0.9184120037511723,0.9878431675624394
JON,2012,2013,1,-0.45100241867524193,0.36833710863090835,0.3517231783408465,0.5204071129009774,0.5740495618767721,0.3313067627411244
JON,2012,2014,2,-3.6617748060587685,1.1919433362473937,0.01808978376585319,0.03553671602309997,0.9817752282549134,0.2905027932960894
JON,2012,2015,3,-4.1434573618373864,1.1883079821547675,0.014846224955285264,0.02925807790424485,0.9851388289864977,0.06344410876132923
JON,2012,2016,4,1.421691387452613,2.2041402963297143,0.11042841529209872,0.1988933528201374,0.4884339815762538,0.8765562905929197
JON,2012,2017,5,2.122898900154619,2.39806693997364,0.03973772561328056,0.07643797976040852,0.6424489795918367,0.9572068019357681
JON,2012,2018,6,0.7149240706248885,2.68794565844279,0.061446673606157284,0.11577910625957016,0.8237823782378239,0.9137891837895391
JON,2012,2019,7,-0.019708494464500997,2.6585548537318653,0.047325319760162465,0.09037367638739026,0.9105081696897016,0.9087269252808726
JON,2012,2021,9,2.502323704719545,3.2866069395898094,0.0032086614588218067,0.006396797759213746,0.9577464788732394,0.9965396699112591
JON,2012,2022,10,2.897348390245517,3.124572854606563,0.011152184477434443,0.022058369943982106,0.7890556045895851,0.9883623424616664
JON,2012,2023,11,0.5894831310607831,3.9451226994299797,0.019235335155388097,0.03774463951930309,0.9470998265090284,0.9706608298793834
JON,2013,2014,1,-3.210772387383527,1.2719310411582156,0.030726035124098626,0.059620178548025586,0.9689878053312615,0.23095238095238096
