species,i,hv_size_Wet,hv_size_Dry,size_rat,jaccard,sorensen,uniq_Wet,uniq_Dry,dist_cent
Pinfish,21,2.061634057383633,13.92842825887794,6.75601385657848,0,0,1,1,3.2862171142853622
Pink shrimp,21,0.6974653437174582,38.58949718239129,55.32819304929338,0,0,1,1,4.026474121343622
Rainwater killifish,21,7.499324549587235,26.871084096864116,3.583133910152363,0.08439493404706362,0.15565350113190554,0.6433095803642123,0.9004529474533034,1.705369355512212
Silver perch,21,27.68272345046482,26.000534483736548,0.9392332560870189,0.2259660535139604,0.36863345908523115,0.6425668684177631,0.6194415718717684,1.3580468276932427
Bay anchovy,22,3.67960740009926,32.127916730354066,8.731343656251859,0.05813650384375377,0.10988469565612546,0.46533713200379867,0.9387651100396937,1.9856860194113377
Mojarra,22,0.10877581248582413,13.46185215595865,123.7577715883577,0,0,1,1,3.621955855375951
Pigfish,22,0.8458740124041868,64.04536393846779,75.71501547427228,0,0,1,1,2.9689659746272734
Pinfish,22,1.7915586823471303,18.61783075815195,10.391973727458724,0,0,1,1,3.4562804439069006
Pink shrimp,22,1.2677229506186962,26.37425878393876,20.804434258342596,0,0,1,1,3.83695093748867
Rainwater killifish,22,8.192129252239239,35.61304343899357,4.347226751733573,0.09598682176298784,0.1751605399936924,0.5316884373488148,0.8922734908032037,1.4982681158292335
Silver perch,22,41.0381815635597,18.859254534747272,0.45955385487873457,0.20002748574723395,0.3333715071079071,0.7567131658469604,0.4706021251475797,1.5212611196134023
Bay anchovy,23,2.9831191966739214,19.916486993637545,6.676396644104521,0.044066447350594375,0.08441310888290042,0.6760057471264368,0.9514716889746716,1.8810462743040135
Mojarra,23,0.1352878839057649,20.40985667929701,150.8624134701785,0,0,1,1,3.594878165551329
Pigfish,23,1.151692141891093,30.404943020305897,26.400234849549808,0,0,1,1,2.9013599899014215
Pinfish,23,1.69983968992992,24.5734762954105,14.456349290457856,0,0,1,1,3.369084429922635
